timestamp,mid_price,spread,spread_pct,ofi_current,ofi_momentum,total_bid_volume,total_ask_volume,volume_imbalance,volume_ratio,bid_depth_l1,ask_depth_l1,future_price,price_increase
2025-11-08 19:42:31.199480,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14009,0.053020000000000005,3.0870699999999998,59.22463221425876,0.05,1e-05,102179.72,0
2025-11-08 19:42:33.236677,102179.72,0.7000000000116415,0.0006850674478376351,1.9999999999999185e-05,1.9999999999999185e-05,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:35.269062,102179.72,0.7000000000116415,0.0006850674478376351,0.0,-1.9999999999999185e-05,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:37.302053,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:39.334420,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:41.370911,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:43.407336,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:45.447122,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:47.482272,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102179.72,0
2025-11-08 19:42:49.510102,102179.72,0.7000000000116415,0.0006850674478376351,0.0,0.0,3.14011,0.053020000000000005,3.08709,59.22500943040362,0.05002,1e-05,102166.535,0
2025-11-08 19:42:51.543232,102166.535,27.070000000006985,0.026495955843082068,-0.9952,-0.9952,2.14491,0.053020000000000005,2.09189,40.454734062617874,0.05,1e-05,102166.54000000001,1
2025-11-08 19:42:53.577297,102166.54000000001,27.060000000012224,0.026486166606026026,-0.09452000000000016,0.9006799999999998,2.05039,0.053020000000000005,1.99737,38.67201056205206,2e-05,1e-05,102159.815,0
2025-11-08 19:42:55.605785,102159.815,40.51000000000931,0.03965355653787089,0.09452000000000016,0.18904000000000032,2.14491,0.053020000000000005,2.09189,40.454734062617874,0.05,1e-05,102159.82,1
2025-11-08 19:42:57.640735,102159.82,40.5,0.03964376601290018,-1.97292,-2.0674400000000004,0.17199,0.053020000000000005,0.11896999999999999,3.243870237646171,2e-05,1e-05,102152.845,0
