timestamp,mid_price,spread,spread_pct,ofi_current,ofi_momentum,total_bid_volume,total_ask_volume,volume_imbalance,volume_ratio,bid_depth_l1,ask_depth_l1,future_price,actual_horizon_seconds,price_increase,source_session
2025-11-08 19:24:03.836120,102055.68,111.36000000000058,0.1091169055950639,0.00069,0.00069,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,0.0007,102055.675,6.095088,0,data/training_data_20251108_193400.csv
2025-11-08 19:24:05.872399,102055.68,111.36000000000058,0.1091169055950639,0.0,-0.00069,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,0.0007,102055.675,6.095353,0,data/training_data_20251108_193400.csv
2025-11-08 19:24:09.931208,102055.675,111.35000000000582,0.1091071123678382,-0.00069,-0.00069,0.1462899999999999,0.12471,0.0215799999999999,1.1730414561783336,0.09378,0.00095,102054.3,6.103297,0,data/training_data_20251108_193400.csv
2025-11-08 19:24:11.967752,102055.675,111.35000000000582,0.1091071123678382,0.00069,0.00138,0.1462899999999999,0.1240199999999999,0.0222699999999999,1.1795678116432833,0.09378,0.00095,102055.68,6.10063,1,data/training_data_20251108_193400.csv
2025-11-08 19:24:16.034505,102054.3,108.60000000000582,0.1064139384621773,0.00069,0.00138,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,1e-05,102055.68,6.093678,1,data/training_data_20251108_193400.csv
2025-11-08 19:24:30.264682,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,0.0007,102055.675,6.095401,0,data/training_data_20251108_193400.csv
2025-11-08 19:24:32.293957,102055.68,111.36000000000058,0.1091169055950639,-0.00069,-0.00069,0.1462899999999999,0.12471,0.0215799999999999,1.173041456178333,0.09378,0.0007,102055.675,6.132734,0,data/training_data_20251108_193400.csv
2025-11-08 19:24:34.329597,102055.68,111.36000000000058,0.1091169055950639,0.00069,0.00138,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,0.0007,102055.675,6.304079,0,data/training_data_20251108_193400.csv
2025-11-08 19:24:50.808129,102055.675,111.35000000000582,0.1091071123678382,0.0,0.0,0.1462899999999999,0.1240199999999999,0.0222699999999999,1.1795678116432833,0.09378,0.00095,102055.68,6.110985,1,data/training_data_20251108_193400.csv
2025-11-08 19:24:52.842509,102055.675,111.35000000000582,0.1091071123678382,0.0,0.0,0.1462899999999999,0.1240199999999999,0.0222699999999999,1.1795678116432833,0.09378,0.00095,102055.68,6.109233,1,data/training_data_20251108_193400.csv
2025-11-08 19:24:54.880444,102055.675,111.35000000000582,0.1091071123678382,0.0,0.0,0.1462899999999999,0.1240199999999999,0.0222699999999999,1.1795678116432833,0.09378,0.00095,102055.68,6.103285,1,data/training_data_20251108_193400.csv
2025-11-08 19:25:27.443302,102055.68,111.36000000000058,0.1091169055950639,-0.00069,-0.00069,0.14629,0.12471,0.0215799999999999,1.1730414561783336,0.09378,0.0007,102055.995,6.117937,1,data/training_data_20251108_193400.csv
2025-11-08 19:25:29.473037,102055.68,111.36000000000058,0.1091169055950639,0.00069,0.00138,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.09378,0.0007,102055.995,6.124165,1,data/training_data_20251108_193400.csv
2025-11-08 19:25:31.515685,102055.68,111.36000000000058,0.1091169055950639,0.0,-0.00069,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.09378,0.0007,102055.995,6.115336,1,data/training_data_20251108_193400.csv
2025-11-08 19:25:35.597202,102055.995,110.72999999999593,0.1084992606264785,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.05,0.0007,102055.68,6.099479,0,data/training_data_20251108_193400.csv
2025-11-08 19:25:37.631021,102055.995,110.72999999999593,0.1084992606264785,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.05,0.0007,102055.68,6.102109,0,data/training_data_20251108_193400.csv
2025-11-08 19:25:39.660005,102055.995,110.72999999999593,0.1084992606264785,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.05,0.0007,102055.68,6.105619,0,data/training_data_20251108_193400.csv
2025-11-08 19:25:45.765624,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.09378,0.0007,102055.675,6.099666,0,data/training_data_20251108_193400.csv
2025-11-08 19:25:51.865290,102055.675,111.35000000000582,0.1091071123678382,-6.396792817664476e-18,-6.396792817664476e-18,0.14629,0.12471,0.02158,1.1730414561783338,0.09378,0.00095,102055.68,6.105878,1,data/training_data_20251108_193400.csv
2025-11-08 19:26:04.077968,102055.68,111.36000000000058,0.1091169055950639,0.0,-0.00069,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.09378,0.0007,102055.995,6.10389,1,data/training_data_20251108_193400.csv
2025-11-08 19:26:06.110250,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.09378,0.0007,102055.995,6.108446,1,data/training_data_20251108_193400.csv
2025-11-08 19:26:08.145056,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.09378,0.0007,102055.995,6.107748,1,data/training_data_20251108_193400.csv
2025-11-08 19:26:10.181858,102055.995,110.72999999999593,0.1084992606264785,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.05,0.0007,102055.68,6.10486,0,data/training_data_20251108_193400.csv
2025-11-08 19:26:12.218696,102055.995,110.72999999999593,0.1084992606264785,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.05,0.0007,102055.68,6.105723,0,data/training_data_20251108_193400.csv
2025-11-08 19:26:14.252804,102055.995,110.72999999999593,0.1084992606264785,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.05,0.0007,102055.675,6.105142,0,data/training_data_20251108_193400.csv
2025-11-08 19:26:16.286718,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.14629,0.12402,0.0222699999999999,1.1795678116432833,0.09378,0.0007,102055.675,6.100603,0,data/training_data_20251108_193400.csv
2025-11-08 19:26:20.357946,102055.675,111.35000000000582,0.1091071123678382,0.0006899999999999,0.0013799999999999,0.14629,0.1240199999999999,0.02227,1.1795678116432835,0.09378,0.00095,102055.68,6.089185,1,data/training_data_20251108_193400.csv
2025-11-08 19:26:22.387321,102055.675,111.35000000000582,0.1091071123678382,-0.00069,-0.0013799999999999,0.1462899999999999,0.12471,0.0215799999999999,1.1730414561783336,0.09378,0.00095,102055.68,6.09414,1,data/training_data_20251108_193400.csv
2025-11-08 19:27:33.617279,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,0.0007,102053.5,6.112864,0,data/training_data_20251108_193400.csv
2025-11-08 19:27:35.659629,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,0.0007,102053.5,6.10313,0,data/training_data_20251108_193400.csv
2025-11-08 19:27:37.692883,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.1462899999999999,0.12402,0.0222699999999999,1.179567811643283,0.09378,0.0007,102053.5,6.106721,0,data/training_data_20251108_193400.csv
2025-11-08 19:27:39.730143,102053.5,107.0,0.104846967521937,-0.22099,-0.22099,0.1462899999999999,0.34501,-0.19872,0.4240166951682558,0.09378,0.121,102055.68,6.109412,1,data/training_data_20251108_193400.csv
2025-11-08 19:27:41.762759,102053.5,107.0,0.104846967521937,0.0,0.22099,0.1462899999999999,0.34501,-0.19872,0.4240166951682558,0.09378,0.121,102055.68,6.111483,1,data/training_data_20251108_193400.csv
2025-11-08 19:27:43.799604,102053.5,107.0,0.104846967521937,0.0,0.0,0.1462899999999999,0.34501,-0.19872,0.4240166951682558,0.09378,0.121,102055.68,6.109223,1,data/training_data_20251108_193400.csv
2025-11-08 19:27:47.874242,102055.68,111.36000000000058,0.1091169055950639,0.0,-0.22008,0.1460699999999999,0.12471,0.0213599999999999,1.171277363483281,0.09356,0.0007,102054.605,6.117962,0,data/training_data_20251108_193400.csv
2025-11-08 19:27:49.908827,102055.68,111.36000000000058,0.1091169055950639,0.0,0.0,0.1460699999999999,0.12471,0.0213599999999999,1.171277363483281,0.09356,0.0007,102054.6,6.116578,0,data/training_data_20251108_193400.csv
2025-11-08 19:27:51.957509,102055.68,111.36000000000058,0.1091169055950639,0.00069,0.00069,0.1460699999999999,0.12402,0.0220499999999999,1.1777939042089982,0.09356,0.0007,102054.6,6.102782,0,data/training_data_20251108_193400.csv
2025-11-08 19:27:53.992204,102054.605,109.2100000000064,0.1070113396646887,-0.22099,-0.22168,0.1460699999999999,0.34501,-0.19894,0.4233790324918117,0.09356,0.121,102054.6,6.10745,0,data/training_data_20251108_193400.csv
2025-11-08 19:28:00.099654,102054.6,109.19999999999708,0.1070015462311322,0.0,0.0,0.1460699999999999,0.34407,-0.198,0.4245357049437614,0.09356,1e-05,102050.33,6.104908,0,data/training_data_20251108_193400.csv
2025-11-08 19:28:02.132512,102054.6,109.19999999999708,0.1070015462311322,0.0,0.0,0.1460699999999999,0.34407,-0.198,0.4245357049437614,0.09356,1e-05,102044.19,6.109848,0,data/training_data_20251108_193400.csv
2025-11-08 19:28:04.168126,102054.6,109.19999999999708,0.1070015462311322,0.0,0.0,0.1460699999999999,0.34407,-0.198,0.4245357049437614,0.09356,1e-05,102044.19,6.122416,0,data/training_data_20251108_193400.csv
2025-11-08 19:28:06.204562,102050.33,100.66000000000348,0.0986376036216673,-0.05024,-0.05024,0.09677,0.34501,-0.24824,0.2804846236340975,0.09356,0.121,102044.19,6.12042,0,data/training_data_20251108_193400.csv
2025-11-08 19:28:14.359186,102044.19,88.38000000000466,0.0866095365155082,0.0,0.0,0.14607,0.34407,-0.1979999999999999,0.4245357049437614,0.09356,1e-05,102051.285,6.10999,1,data/training_data_20251108_193400.csv
