timestamp,mid_price,spread,spread_pct,ofi_current,ofi_momentum,total_bid_volume,total_ask_volume,volume_imbalance,volume_ratio,bid_depth_l1,ask_depth_l1,future_price,actual_horizon_seconds,price_increase
2025-11-18 13:20:31.816511,93445.48,75.81999999999243,0.0811382209176863,-0.0237099999999999,0.0,0.31875,1.39852,-1.07977,0.2279195149157681,0.0001,0.00023,93415.64,6.101014,0
2025-11-18 13:20:33.846721,93440.035,64.92999999999302,0.0694884157524052,0.61034,0.63405,0.47436,0.94379,-0.46943,0.5026118098305767,0.0001,0.00023,93411.7,6.109244,0
2025-11-18 13:20:35.882038,93431.64,48.13999999999942,0.0515243016177382,-0.28746,-0.8978,0.31875,1.07564,-0.75689,0.2963352050872039,0.0001,0.00023,93411.705,6.12858,0
2025-11-18 13:20:37.917525,93415.64,80.11999999999534,0.0857672227048868,0.28791,0.57537,0.4748799999999999,0.94386,-0.46898,0.5031254635221325,0.0001,0.00023,93411.98,6.13121,0
2025-11-18 13:20:39.955965,93411.7,72.24000000000524,0.0773350661640942,-0.1318299999999999,-0.41974,0.47483,1.07564,-0.60081,0.4414395150793946,0.0001,0.00023,93435.94,6.12617,1
2025-11-18 13:20:42.010618,93411.705,72.23000000001048,0.0773243567281107,-0.15557,-0.02374,0.31923,1.0756100000000002,-0.7563800000000002,0.2967897286191091,0.00015,0.0002,93429.655,6.109763,1
2025-11-18 13:20:44.048735,93411.98,111.5399999999936,0.1194065258010734,-0.3230299999999999,-0.1674599999999999,0.5435599999999999,1.62297,-1.0794100000000002,0.3349168499725811,0.26375,0.0001,93429.005,6.121036,1
2025-11-18 13:20:46.082135,93435.94,63.60000000000582,0.0680680260722007,0.2241899999999999,0.5472199999999999,0.54367,1.3988900000000002,-0.8552200000000002,0.388643853340863,0.26386,0.00023,93415.695,6.125442,0
2025-11-18 13:20:48.120381,93429.655,76.16999999999825,0.0815265774020018,-0.0686299999999999,-0.2928199999999999,0.47475,1.3986,-0.92385,0.3394465894465894,0.26375,0.00023,93391.76,6.11784,0
2025-11-18 13:20:50.169771,93429.005,61.88999999999942,0.0662428118548403,0.2986,0.3672299999999999,0.3190699999999999,0.94432,-0.6252500000000001,0.3378833446289392,0.00011,0.055,93388.01,6.103092,0
2025-11-18 13:20:52.207577,93415.695,88.3700000000099,0.0945986646034265,-0.2990299999999999,-0.5976299999999999,0.4748599999999999,1.39914,-0.92428,0.3393941992938519,0.26386,0.88839,93378.72,6.095442,0
2025-11-18 13:20:54.238221,93391.76,64.24000000000524,0.0687855116982539,0.2308499999999999,0.5298799999999999,0.4752999999999999,1.16873,-0.6934300000000001,0.4066807560343278,0.0001,0.00054,93376.425,6.101884,0
2025-11-18 13:20:56.272863,93388.01,56.74000000000524,0.0607572642355321,-0.06323,-0.2940799999999999,0.3190599999999999,1.07572,-0.7566600000000001,0.2966013460751868,0.0001,0.00023,93376.42,6.102542,0
2025-11-18 13:20:58.303019,93378.72,75.32000000000698,0.0806607758170244,-0.0004899999999999,0.06274,0.3190599999999999,1.07621,-0.7571500000000002,0.2964663030449447,0.00011,0.00072,93381.02,6.110626,1
2025-11-18 13:21:00.340105,93376.425,69.92999999999302,0.0748904233589934,0.13194,0.13243,0.31905,0.94426,-0.62521,0.3378836337449431,9e-05,0.00054,93383.665,6.116702,1
2025-11-18 13:21:02.375405,93376.42,69.91999999999825,0.0748797180273116,0.0,-0.13194,0.31905,0.94426,-0.62521,0.3378836337449431,9e-05,0.00023,93383.66,6.120058,1
2025-11-18 13:21:04.413645,93381.02,79.91999999999825,0.0855848436866488,-0.35299,-0.35299,0.4204,1.3986,-0.9782,0.3005863005863006,0.00011,0.00023,93380.37,6.120134,0
2025-11-18 13:21:06.456807,93383.665,85.2100000000064,0.0912472218776232,-0.13177,0.2212199999999999,0.4204,1.53037,-1.10997,0.274704809947921,0.00011,0.88839,93373.38,6.111517,0
2025-11-18 13:21:08.495463,93383.66,85.19999999999709,0.091236518251691,0.5860500000000001,0.7178200000000001,0.4204,0.94432,-0.52392,0.4451880718400542,0.00011,0.00023,93390.37,6.107817,1
2025-11-18 13:21:10.533779,93380.37,78.61999999999534,0.084193283877538,-0.4542800000000001,-1.0403300000000002,0.4204,1.3986,-0.9782,0.3005863005863006,0.00011,0.00023,93393.725,6.104346,1
2025-11-18 13:21:12.568324,93373.38,64.63999999999942,0.0692274393408479,0.0011699999999999,0.45545,0.5533399999999999,1.53037,-0.97703,0.3615726915713193,0.00011,0.055,93393.725,6.104489,1
